identifiant,Prénom,Nom,Département,Numéro de circonscription,Groupe politique (complet)
643175,Stella,Dupont,Maine-et-Loire,2,Non inscrit
842073,Gaëtan,Dussausaye,Vosges,2,Rassemblement National
841761,Aurélien,Dutremble,Saône-et-Loire,3,Rassemblement National
794854,Inaki,Echaniz,Pyrénées-Atlantiques,4,Socialistes et apparentés
794718,Christine,Engrand,Pas-de-Calais,6,Non inscrit
795844,Karen,Erodi,Tarn,2,La France insoumise - Nouveau Front Populaire
607193,Sophie,Errante,Loire-Atlantique,10,Non inscrit
842195,Romain,Eskenazi,Val-d'Oise,7,Socialistes et apparentés
841621,Auguste,Evrard,Pas-de-Calais,8,Rassemblement National
794658,Philippe,Fait,Pas-de-Calais,4,Horizons & Indépendants
793246,Frédéric,Falcon,Aude,2,Rassemblement National
605694,Olivier,Falorni,Charente-Maritime,1,Les Démocrates
721896,Elsa,Faucillon,Hauts-de-Seine,1,Gauche Démocrate et Républicaine
609332,Olivier,Faure,Seine-et-Marne,11,Socialistes et apparentés
267042,Yannick,Favennec-Bécot,Mayenne,3,"Libertés, Indépendants, Outre-mer et Territoires"
840773,Olivier,Fayssat,Bouches-du-Rhône,6,Union des droites pour la République
841251,Mathilde,Feld,Gironde,12,La France insoumise - Nouveau Front Populaire
794786,Emmanuel,Fernandes,Bas-Rhin,2,La France insoumise - Nouveau Front Populaire
795120,Marina,Ferrari,Savoie,1,Les Démocrates
794870,Sylvie,Ferrer,Hautes-Pyrénées,1,La France insoumise - Nouveau Front Populaire
719938,Marc,Fesneau,Loir-et-Cher,1,Les Démocrates
267780,Agnès,Firmin Le Bodo,Seine-Maritime,7,Horizons & Indépendants
722134,Jean-Marie,Fiévet,Deux-Sèvres,3,Ensemble pour la République
840143,Guillaume,Florquin,Nord,20,Rassemblement National
1327,Nicolas,Forissier,Indre,2,Droite Républicaine
840801,Emmanuel,Fouquart,Bouches-du-Rhône,13,Rassemblement National
793980,Charles,Fournier,Indre-et-Loire,1,Écologiste et Social
794678,Thierry,Frappé,Pas-de-Calais,10,Rassemblement National
822617,Martine,Froger,Ariège,1,Socialistes et apparentés
840235,Moerani,Frébault,Polynésie Française,1,Ensemble pour la République
722284,Bruno,Fuchs,Haut-Rhin,6,Les Démocrates
722366,Jean-Luc,Fugit,Rhône,11,Ensemble pour la République
841665,Denis,Fégné,Hautes-Pyrénées,2,Socialistes et apparentés
841139,Julien,Gabarron,Hérault,6,Rassemblement National
796070,Perceval,Gaillard,Réunion,7,La France insoumise - Nouveau Front Populaire
719736,Camille,Galliard-Minier,Isère,1,Ensemble pour la République
793892,Stéphanie,Galzy,Hérault,5,Rassemblement National
795010,Marie-Charlotte,Garin,Rhône,3,Écologiste et Social
333285,Guillaume,Garot,Mayenne,1,Socialistes et apparentés
722358,Thomas,Gassilloud,Rhône,10,Ensemble pour la République
721024,Anne,Genetet,Français établis hors de France,11,Ensemble pour la République
794234,François,Gernigon,Maine-et-Loire,1,Horizons & Indépendants
841737,Jonathan,Gery,Rhône,8,Rassemblement National
796034,Frank,Giletti,Var,6,Rassemblement National
793832,Yoann,Gillet,Gard,1,Rassemblement National
793102,Christian,Girard,Alpes-de-Haute-Provence,1,Rassemblement National
841419,Damien,Girard,Morbihan,5,Écologiste et Social
718674,Olga,Givernet,Ain,3,Ensemble pour la République
840939,Océane,Godard,Côte-d'Or,1,Socialistes et apparentés
841539,Julien,Gokel,Nord,13,Socialistes et apparentés
841605,Antoine,Golliot,Pas-de-Calais,5,Rassemblement National
793362,José,Gonzalez,Bouches-du-Rhône,10,Rassemblement National
266797,Philippe,Gosselin,Manche,1,Droite Républicaine
331973,Pascale,Got,Gironde,5,Socialistes et apparentés
721296,Guillaume,Gouffier Valente,Val-de-Marne,6,Ensemble pour la République
794418,Florence,Goulet,Meuse,2,Rassemblement National
720560,Perrine,Goulet,Nièvre,1,Les Démocrates
793592,Géraldine,Grangier,Doubs,4,Rassemblement National
267318,Jean-Carles,Grelier,Sarthe,5,Les Démocrates
795540,Daniel,Grenon,Yonne,1,Non inscrit
840757,Monique,Griseti,Bouches-du-Rhône,1,Rassemblement National
794058,Justine,Gruet,Jura,3,Droite Républicaine
840171,Emmanuel,Grégoire,Paris,7,Socialistes et apparentés
721764,Olivia,Grégoire,Paris,12,Ensemble pour la République
1567,Jérôme,Guedj,Essonne,6,Socialistes et apparentés
795310,Clémence,Guetté,Val-de-Marne,2,La France insoumise - Nouveau Front Populaire
841451,Julien,Guibert,Nièvre,2,Rassemblement National
794734,Michel,Guiniot,Oise,6,Rassemblement National
794478,David,Guiraud,Nord,8,La France insoumise - Nouveau Front Populaire
793218,Jordan,Guitton,Aube,1,Rassemblement National
795258,Frantz,Gumbs,Saint-Barthélemy et Saint-Martin,1,Les Démocrates
842013,Steevy,Gustave,Essonne,3,Écologiste et Social
794470,Félicie,Gérard,Nord,7,Horizons & Indépendants
1592,David,Habib,Pyrénées-Atlantiques,3,"Libertés, Indépendants, Outre-mer et Territoires"
841471,Stéphane,Hablot,Meurthe-et-Moselle,2,Socialistes et apparentés
842263,Ayda,Hadizadeh,Val-d'Oise,2,Socialistes et apparentés
841947,Zahia,Hamdane,Somme,2,La France insoumise - Nouveau Front Populaire
795900,Marine,Hamelet,Tarn-et-Garonne,2,Rassemblement National
722070,Pierre,Henriet,Vendée,5,Horizons & Indépendants
1630,Michel,Herbillon,Val-de-Marne,8,Droite Républicaine
841813,Florence,Herouin-Léautey,Seine-Maritime,1,Socialistes et apparentés
841853,Céline,Hervieu,Paris,11,Socialistes et apparentés
840947,Catherine,Hervieu,Côte-d'Or,2,Écologiste et Social
608416,Patrick,Hetzel,Bas-Rhin,7,Droite Républicaine
794082,Mathilde,Hignet,Ille-et-Vilaine,4,La France insoumise - Nouveau Front Populaire
841709,Emmanuelle,Hoffman,Paris,4,Ensemble pour la République
1654,François,Hollande,Corrèze,1,Socialistes et apparentés
722150,Sacha,Houlié,Vienne,2,Socialistes et apparentés
793632,Timothée,Houssin,Eure,5,Rassemblement National
842085,Sébastien,Humbert,Vosges,4,Rassemblement National
841017,Harold,Huwart,Eure-et-Loir,3,"Libertés, Indépendants, Outre-mer et Territoires"
